BST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2014-2-24,14,11,7,8,6,4,87,74,50,1009,1005,1000,31,17,9,32,19,50,0.51,3,Rain,181
2014-2-25,11,8,6,8,5,3,93,78,58,1006,1000,998,31,15,5,35,24,53,3.05,3,Rain-Snow,200
2014-2-26,12,7,3,5,3,1,93,73,38,1016,1013,1007,31,18,10,27,14,,0.00,3,Rain,224
2014-2-27,12,7,3,7,3,1,93,73,39,1014,1007,1003,31,15,5,34,23,50,2.03,3,Rain,222
2014-2-28,8,5,2,5,3,-1,93,85,63,1004,999,993,31,12,6,24,13,,5.08,5,Rain,53
2014-3-1,10,6,1,4,1,-2,100,75,35,1004,1002,1001,31,9,0,14,8,,0.00,2,Fog,273
2014-3-2,10,6,2,6,4,1,93,82,56,1002,993,982,31,12,6,35,18,53,0.25,4,Rain,190
2014-3-3,9,6,3,5,3,2,93,83,63,996,986,982,31,14,10,21,10,,0.76,3,Rain,191
2014-3-4,11,6,0,5,2,-1,100,78,47,1012,1004,996,31,13,5,16,8,,0.00,3,Fog-Rain,265
2014-3-5,13,7,0,4,2,-1,100,72,40,1025,1020,1012,31,15,8,21,6,,0.25,1,,248
2014-3-6,13,9,5,7,5,3,93,77,50,1026,1024,1022,31,15,7,32,14,42,0.00,2,,206
2014-3-7,17,11,6,9,7,4,88,72,43,1029,1023,1019,31,13,10,27,14,,0.00,3,Rain,228
2014-3-8,16,11,7,7,4,2,93,65,29,1029,1025,1021,31,11,6,27,18,,0.00,6,,156
2014-3-9,19,12,6,7,4,3,81,58,28,1024,1022,1021,26,9,5,24,10,34,0.00,,,170
2014-3-10,13,8,4,8,4,2,87,73,57,1033,1028,1023,31,12,6,23,8,,0.00,6,,27
2014-3-11,11,8,6,7,4,2,87,76,61,1034,1033,1032,31,12,7,21,14,,0.00,6,Rain,55
2014-3-12,16,9,2,8,4,1,93,76,40,1034,1032,1030,19,9,3,11,8,,0.00,4,,31
2014-3-13,18,10,2,7,5,2,100,75,26,1031,1030,1028,16,4,0,11,5,,0.00,4,Fog,27
2014-3-14,17,9,2,7,5,2,100,73,35,1031,1027,1024,11,5,1,26,8,,0.00,1,Fog,280
2014-3-15,18,12,7,6,5,2,87,64,24,1029,1026,1025,31,18,5,27,16,,0.00,1,,277
2014-3-16,19,13,7,8,6,3,87,63,28,1026,1024,1022,31,19,7,24,16,,0.00,,,266
2014-3-17,14,9,5,7,6,4,93,74,47,1024,1021,1019,31,13,5,21,14,,0.00,3,,263
2014-3-18,14,10,7,8,6,3,87,69,41,1021,1017,1014,31,13,9,39,21,50,0.00,4,Rain,259
2014-3-19,16,11,7,7,5,4,93,68,35,1024,1022,1019,31,18,8,26,18,,0.00,2,,241
2014-3-20,14,10,7,9,7,5,94,77,48,1019,1009,1004,31,12,6,42,23,60,3.05,5,Rain,218
2014-3-21,13,10,7,6,3,-1,93,67,30,1008,1005,999,31,14,7,37,19,48,3.05,2,Rain,232
2014-3-22,12,8,4,5,2,-2,93,67,30,1002,999,998,31,11,5,35,23,48,0.00,2,Rain,237
2014-3-23,11,6,1,3,1,-3,93,65,29,1015,1008,1002,31,14,10,32,16,39,0.00,2,Rain,292
2014-3-24,11,6,-1,4,1,-2,93,67,36,1015,1012,1008,31,14,8,27,11,,0.25,3,Fog-Rain,163
2014-3-25,9,7,4,6,4,1,100,80,55,1016,1009,1005,31,13,7,24,13,,5.08,5,Rain,96
2014-3-26,9,6,2,4,2,-1,100,80,39,1020,1017,1014,27,10,1,26,10,,2.03,4,Fog-Rain,3
2014-3-27,11,7,3,4,2,-1,93,75,40,1014,1013,1011,23,10,5,27,10,,0.00,4,Fog-Rain,67
2014-3-28,14,9,3,6,3,0,100,70,32,1016,1015,1013,18,6,1,27,13,,0.00,2,Rain,82
2014-3-29,19,13,8,7,4,-1,93,57,18,1016,1014,1012,31,9,3,34,16,,0.00,,,99
2014-3-30,19,13,7,7,5,2,87,56,25,1014,1013,1012,27,9,5,21,8,,0.00,,Rain,114
2014-3-31,17,13,9,9,7,6,82,63,42,1014,1013,1011,31,20,10,21,11,27,1.02,,Rain,141
2014-4-1,19,13,7,11,9,6,100,80,39,1012,1010,1008,19,7,0,16,5,,0.00,4,Fog-Rain,6
2014-4-2,18,14,11,11,9,7,88,71,48,1008,1004,1000,10,8,5,23,13,,0.00,1,Rain,85
2014-4-3,18,14,11,11,9,9,88,75,52,1002,1000,999,21,7,3,26,11,,0.00,5,,96
2014-4-4,15,12,9,10,8,6,88,71,46,1012,1008,1002,31,11,2,24,14,,0.00,5,,253
2014-4-5,14,10,6,11,8,5,100,83,56,1014,1013,1012,31,12,1,26,13,50,0.00,5,Fog-Rain,197
2014-4-6,16,14,12,12,12,11,94,88,67,1014,1013,1012,31,12,5,35,21,48,2.03,6,Rain,213
2014-4-7,14,11,8,12,11,6,94,87,76,1013,1009,1004,31,14,5,29,23,42,2.03,5,Rain,209
2014-4-8,14,9,5,6,3,-1,87,64,26,1026,1018,1010,31,15,10,39,23,,0.00,2,Rain,269
2014-4-9,17,10,4,7,6,3,93,68,38,1027,1026,1024,31,14,6,23,13,,0.00,2,,261
2014-4-10,16,11,6,6,5,3,93,62,31,1025,1022,1020,31,14,9,19,10,,0.00,3,,278
2014-4-11,16,12,9,5,4,2,71,53,28,1023,1021,1020,31,18,10,13,8,,0.00,1,,351
2014-4-12,14,10,6,7,5,3,87,66,42,1022,1019,1017,31,16,10,29,11,,0.00,1,,262
2014-4-13,16,12,8,8,5,2,93,63,33,1024,1021,1020,31,14,9,26,14,,0.00,2,,283
2014-4-14,16,11,6,5,3,0,87,57,25,1028,1024,1022,31,17,10,21,13,,0.00,1,,330
2014-4-15,14,9,3,4,2,0,81,58,26,1031,1030,1028,31,20,10,21,10,,0.00,1,,64
2014-4-16,17,10,3,4,1,-6,87,54,15,1030,1027,1024,31,20,10,16,11,,0.00,1,,139
2014-4-17,17,11,6,7,4,1,81,59,27,1024,1020,1017,31,17,10,21,11,,0.00,2,,279
2014-4-18,12,9,6,5,2,-1,81,57,28,1022,1020,1019,31,15,10,19,13,,0.00,3,,21
2014-4-19,14,9,3,4,2,0,81,59,33,1021,1018,1015,31,14,10,23,11,,0.00,4,,56
2014-4-20,14,10,7,11,8,3,94,84,68,1015,1007,1003,18,7,2,24,13,39,8.89,6,Rain,58
2014-4-21,19,12,5,11,8,4,100,78,31,1007,1005,1004,26,7,0,14,6,,9.91,3,Fog-Rain-Thunderstorm,356
2014-4-22,16,13,9,10,9,7,100,82,49,1014,1008,1004,31,8,2,24,11,40,0.00,5,Rain,206
2014-4-23,16,11,6,11,8,6,100,79,43,1020,1017,1014,31,10,5,24,13,,0.51,2,Rain,166
2014-4-24,17,13,10,10,8,6,94,72,34,1021,1019,1016,31,12,6,14,8,,0.00,3,Rain,116
2014-4-25,12,10,8,11,9,7,100,91,77,1016,1012,1009,19,7,3,26,10,,6.10,6,Rain,329
2014-4-26,16,12,7,10,7,4,100,72,40,1009,1005,1003,31,12,3,34,19,52,0.76,3,Rain,162
2014-4-27,14,11,8,9,7,4,94,74,50,1007,1003,1001,31,12,9,24,18,,0.76,3,Rain,95
2014-4-28,18,13,9,10,8,6,94,73,35,1014,1010,1008,31,10,4,23,11,,0.00,4,Rain,60
2014-4-29,17,13,8,11,9,7,95,76,45,1014,1012,1011,31,9,3,19,8,,0.00,3,Rain,76
2014-4-30,19,13,6,10,7,5,100,72,33,1014,1012,1011,31,9,0,24,8,,0.00,2,Fog,214
2014-5-1,14,12,9,11,10,8,100,89,74,1015,1010,1009,31,8,1,14,10,,6.10,5,Rain,219
2014-5-2,12,9,6,10,6,2,94,75,53,1029,1023,1015,31,11,2,19,13,,0.00,5,Rain,26
2014-5-3,14,8,2,3,1,-1,87,56,26,1030,1028,1026,31,16,10,14,8,,0.00,1,,39
2014-5-4,16,10,4,6,4,2,87,62,32,1027,1023,1019,31,17,10,19,10,40,0.00,1,,196
2014-5-5,18,12,5,8,6,3,93,60,29,1019,1013,1006,31,20,10,26,13,42,0.00,1,,163
2014-5-6,18,15,12,11,8,4,94,64,30,1007,1006,1005,31,13,10,27,14,,0.25,3,Rain,238
2014-5-7,18,14,10,9,7,6,88,66,40,1012,1009,1006,31,13,9,40,23,47,1.02,3,Rain,246
2014-5-8,16,13,11,14,10,6,94,80,56,1012,1008,1004,31,12,3,40,24,48,4.06,6,Rain,233
2014-5-9,18,14,11,10,7,4,82,59,31,1014,1011,1009,31,16,10,47,27,64,0.25,3,Rain,254
2014-5-10,18,14,11,13,9,6,94,74,45,1013,1004,1000,31,13,5,47,24,66,2.03,4,Rain,228
2014-5-11,14,11,8,7,5,3,82,63,37,1008,1003,1000,31,13,9,42,34,55,0.25,5,Rain,257
2014-5-12,18,13,9,8,6,3,87,65,29,1014,1010,1008,31,14,6,29,21,,3.05,3,Rain,273
2014-5-13,16,12,8,9,7,6,93,74,43,1027,1019,1014,31,14,6,16,10,,7.87,2,Rain,298
2014-5-14,19,13,6,8,6,2,93,60,24,1034,1031,1027,31,17,10,16,10,,0.00,2,,325
2014-5-15,21,14,8,11,8,6,87,63,29,1036,1035,1035,31,14,10,19,8,,0.00,2,,164
2014-5-16,23,16,9,11,8,6,87,58,32,1036,1032,1028,29,18,10,10,5,,0.00,1,,185
2014-5-17,23,17,11,12,11,8,94,62,36,1028,1023,1019,31,15,8,14,8,39,0.00,1,,247
2014-5-18,23,18,12,12,9,4,94,57,25,1019,1012,1007,31,15,7,21,10,40,0.00,1,,168
2014-5-19,26,20,13,12,10,8,88,54,27,1007,1004,1002,31,11,4,27,13,,0.00,,,106
2014-5-20,20,17,13,12,11,10,82,68,46,1011,1007,1002,31,13,9,26,13,39,0.00,2,Rain,184
2014-5-21,19,14,9,10,9,7,94,67,35,1011,1008,1001,31,12,6,21,10,,0.00,1,Rain,93
2014-5-22,18,14,12,12,11,8,94,76,45,1003,1001,999,31,11,2,29,14,53,5.08,3,Rain-Thunderstorm,162
2014-5-23,17,13,11,10,8,7,88,68,44,1008,1005,1002,31,13,9,39,19,45,2.03,4,Rain,154
2014-5-24,16,13,10,11,9,6,94,76,52,1013,1009,1008,31,11,5,26,13,,5.08,3,Rain,152
2014-5-25,18,13,9,9,7,4,93,60,32,1020,1017,1013,31,16,10,27,16,45,0.00,2,,192
2014-5-26,12,11,9,11,9,5,94,84,53,1021,1019,1016,31,12,3,13,6,,7.11,3,Rain,343
2014-5-27,13,12,10,12,10,8,94,87,74,1016,1014,1013,26,10,3,16,11,,0.51,6,Rain,323
2014-5-28,14,12,9,12,11,8,94,88,73,1014,1012,1011,31,12,3,16,11,,0.00,6,Rain,296
2014-5-29,19,16,13,13,12,10,94,78,47,1020,1015,1012,31,12,6,19,8,,0.00,3,Rain,93
2014-5-30,16,14,12,11,9,7,88,71,43,1026,1023,1020,31,13,9,19,11,,0.00,6,,58
2014-5-31,19,13,8,11,8,6,87,63,35,1026,1025,1024,29,14,10,11,5,,0.00,3,,315
2014-6-1,22,17,11,12,9,5,88,58,25,1024,1022,1020,31,16,10,14,6,,0.00,2,,301
2014-6-2,21,17,13,12,11,9,88,68,43,1020,1018,1016,31,14,10,21,11,35,0.00,2,Rain,247
2014-6-3,19,16,12,13,11,8,94,76,45,1016,1012,1009,31,13,7,24,11,40,1.02,4,Rain,218
2014-6-4,14,11,8,11,9,3,94,78,47,1009,1005,1003,31,12,7,47,13,64,2.03,4,Rain-Thunderstorm,230
2014-6-5,19,13,8,9,7,3,94,63,25,1014,1010,1006,31,14,7,27,19,40,0.00,3,Rain,252
2014-6-6,23,16,8,12,8,5,87,58,27,1014,1013,1011,31,24,10,26,11,,0.00,,,106
2014-6-7,22,19,15,17,12,9,94,68,35,1016,1012,1007,31,13,6,26,13,37,4.06,2,Rain,199
2014-6-8,24,19,13,12,11,9,94,59,30,1019,1018,1016,31,18,10,21,10,42,0.00,1,,225
2014-6-9,26,20,15,17,13,10,83,62,34,1019,1016,1014,31,15,3,21,11,37,1.02,2,Rain,155
2014-6-10,22,18,13,15,10,7,88,59,30,1022,1017,1014,31,17,10,32,16,47,0.00,1,,223
2014-6-11,22,17,11,11,9,7,94,60,31,1029,1026,1022,31,15,9,16,14,,0.00,2,,263
2014-6-12,25,18,12,12,9,8,82,52,27,1029,1028,1026,31,21,10,16,10,,0.00,2,,307
2014-6-13,26,19,13,13,11,9,82,52,27,1027,1025,1022,31,19,10,16,10,,0.00,2,,339
2014-6-14,22,18,14,16,13,10,94,71,47,1027,1025,1023,31,11,3,21,11,,3.05,3,Rain-Thunderstorm,30
2014-6-15,18,16,14,13,11,8,88,68,50,1029,1028,1027,31,13,6,16,11,,0.00,6,Rain,31
2014-6-16,18,16,13,11,9,7,82,66,49,1029,1028,1027,31,15,10,21,13,,0.00,5,Rain,25
2014-6-17,21,17,13,11,8,4,77,56,24,1028,1027,1026,31,15,10,23,14,,0.00,4,,26
2014-6-18,22,18,13,14,11,9,94,65,35,1028,1026,1024,31,14,3,19,11,,0.25,4,Rain,31
2014-6-19,21,17,12,14,12,9,94,72,54,1025,1023,1022,31,15,8,19,8,,0.00,4,,34
2014-6-20,23,17,11,12,9,7,82,57,30,1024,1022,1020,31,18,10,21,6,,0.00,2,,311
2014-6-21,24,18,13,12,9,8,77,53,27,1021,1020,1018,31,19,10,19,13,,0.00,2,,287
2014-6-22,24,19,13,13,11,7,82,56,28,1023,1021,1020,31,18,10,19,10,,0.00,2,,111
2014-6-23,26,20,14,15,10,6,83,53,26,1024,1022,1020,31,20,10,13,8,,0.00,2,Rain,135
2014-6-24,24,19,13,15,12,9,94,66,27,1021,1019,1017,31,12,0,23,8,37,0.00,3,Fog,350
2014-6-25,21,16,11,12,7,4,82,52,23,1020,1018,1016,31,18,10,19,13,,0.00,2,,55
2014-6-26,22,17,11,13,8,5,88,58,28,1017,1015,1013,31,17,10,21,11,,1.02,3,Rain,102
2014-6-27,23,18,14,14,11,7,94,65,25,1014,1012,1011,31,13,6,32,16,52,0.00,2,Rain,204
2014-6-28,18,16,12,12,11,10,88,76,52,1012,1010,1008,27,14,9,16,10,,13.97,3,Rain,273
2014-6-29,19,16,12,11,9,5,88,65,31,1017,1013,1010,31,16,10,19,10,,0.00,2,Rain,9
2014-6-30,21,16,9,13,10,7,94,70,33,1019,1017,1017,31,16,8,23,6,,0.51,2,Rain,110
